Unnamed: 0,debate_unit_id,label,span,source_annotators
0,49111,evasion,"Jamen det pudsige er, at hvis man ønsker mere overvågning, så skal man bare lade stå til og lade tingene være, som de er nu. Fordi nu sikrer man sig jo, hvis ikke man gør noget, at reglerne er, som de er, og at der ikke bliver grebet ind over for reglerne. Det synes jeg er en helt uholdbar situation.","T4XQCNVT,PCIEWQQM"
1,49111,evasion,"Jeg vil hellere fortælle, hvor vi ønsker mere overvågning, for det er sådan set det, jeg forholder mig til. Jeg kunne godt tænke mig, at der er overvågning på centrale steder, pladser, højrisikosteder osv. Det synes jeg ville være helt åbenbart.","T4XQCNVT,PCIEWQQM"
2,79831,evasion,"og jeg vil i øvrigt i folkeoplysningens navn sige, at det faktisk går ret godt med tallene på udlændingeområdet, både når det handler om asyl, og når det handler om familiesammenføring","GQV1P2A6,XA2J3CRV"
3,79831,evasion,"så var den her regerings vigtigste opgave i første kommuneaftale at begynde også at få styr på velfærden, som jo er et område, der ikke har fået den opmærksomhed, velfærden skulle, under den tidligere regering","GQV1P2A6,PCIEWQQM"
4,79831,evasion,"Det sidder vi nu og kigger på i regeringen hvordan vi gør bedst. Jeg mener stadig væk, det er en ualmindelig god idé, og jeg vil i øvrigt i folkeoplysningens navn sige, at det faktisk går ret godt med tallene på udlændingeområdet, både når det handler om asyl, og når det handler om familiesammenføring","PCIEWQQM,XA2J3CRV"
5,79831,evasion,"Det skal jo så ikke betyde, at vi ikke også har et fokus på, hvor mange der kommer hertil. Det går ret godt på udlændingeområdet, men et loft er stadig væk en del af regeringens arbejde.","PCIEWQQM,XA2J3CRV"
6,79832,answer,"Jeg vil bestemt ikke afvise, at vi skal diskutere skat som en del af klimahandlingsplanerne. Jeg er selvfølgelig meget optaget af, hvordan konklusionen på den diskussion bliver, for skat har det med at vende skævt og vende den tunge ende nedad, og da jeg er mindst lige så optaget af ulighed, som jeg er af klima, skal vi have de to ting til at balancere klogt.","5PIQCGDC,T4XQCNVT"
7,79832,answer,"Jeg er selvfølgelig meget optaget af, hvordan konklusionen på den diskussion bliver, for skat har det med at vende skævt og vende den tunge ende nedad, og da jeg er mindst lige så optaget af ulighed, som jeg er af klima, skal vi have de to ting til at balancere klogt.","5PIQCGDC,X8ONC7FW"
8,79832,answer,"Jeg synes ikke, der er grund til at vente med noget til en fjern fremtid på klimaområdet, og jeg synes bestemt, at vi kan have en skattediskussion i forbindelse med klimahandlingsplaner.","5PIQCGDC,X8ONC7FW"
9,79832,answer,"Og det er fuldstændig rigtigt – nu skal vi i gang med at omsætte den til virkelighed. Jeg vil bestemt ikke afvise, at vi skal diskutere skat som en del af klimahandlingsplanerne.","TMOFL9OS,T4XQCNVT"
10,79832,answer,"Jeg er selvfølgelig meget optaget af, hvordan konklusionen på den diskussion bliver, for skat har det med at vende skævt og vende den tunge ende nedad, og da jeg er mindst lige så optaget af ulighed, som jeg er af klima, skal vi have de to ting til at balancere klogt.","T4XQCNVT,X8ONC7FW"
