Unnamed: 0,debate_unit_id,label,annotator_1,annotator_2,span_1,span_2,dice,contained
0,49111,evasion,T4XQCNVT,PCIEWQQM,"Jamen det pudsige er, at hvis man ønsker mere overvågning, så skal man bare lade stå til og lade tingene være, som de er nu. Fordi nu sikrer man sig jo, hvis ikke man gør noget, at reglerne er, som de er, og at der ikke bliver grebet ind over for reglerne. Det synes jeg er en helt uholdbar situation.","Jamen det pudsige er, at hvis man ønsker mere overvågning, så skal man bare lade stå til og lade tingene være, som de er nu. Fordi nu sikrer man sig jo, hvis ikke man gør noget, at reglerne er, som de er, og at der ikke bliver grebet ind over for reglerne. Det synes jeg er en helt uholdbar situation. Så i princippet skal man, hvis man ønsker sig ubegrænset overvågning af det offentlige rum, bare lade reglerne være, som de er i dag.",0.9019607843137256,True
1,49111,evasion,T4XQCNVT,PCIEWQQM,"Jamen det pudsige er, at hvis man ønsker mere overvågning, så skal man bare lade stå til og lade tingene være, som de er nu. Fordi nu sikrer man sig jo, hvis ikke man gør noget, at reglerne er, som de er, og at der ikke bliver grebet ind over for reglerne. Det synes jeg er en helt uholdbar situation.","Jeg vil hellere fortælle, hvor vi ønsker mere overvågning, for det er sådan set det, jeg forholder mig til. Jeg kunne godt tænke mig, at der er overvågning på centrale steder, pladser, højrisikosteder osv. Det synes jeg ville være helt åbenbart.",0.2857142857142857,False
2,49111,evasion,T4XQCNVT,PCIEWQQM,"Jeg vil hellere fortælle, hvor vi ønsker mere overvågning, for det er sådan set det, jeg forholder mig til. Jeg kunne godt tænke mig, at der er overvågning på centrale steder, pladser, højrisikosteder osv. Det synes jeg ville være helt åbenbart.","Jamen det pudsige er, at hvis man ønsker mere overvågning, så skal man bare lade stå til og lade tingene være, som de er nu. Fordi nu sikrer man sig jo, hvis ikke man gør noget, at reglerne er, som de er, og at der ikke bliver grebet ind over for reglerne. Det synes jeg er en helt uholdbar situation. Så i princippet skal man, hvis man ønsker sig ubegrænset overvågning af det offentlige rum, bare lade reglerne være, som de er i dag.",0.2765957446808511,False
3,49111,evasion,T4XQCNVT,PCIEWQQM,"Jeg vil hellere fortælle, hvor vi ønsker mere overvågning, for det er sådan set det, jeg forholder mig til. Jeg kunne godt tænke mig, at der er overvågning på centrale steder, pladser, højrisikosteder osv. Det synes jeg ville være helt åbenbart.","Jeg vil hellere fortælle, hvor vi ønsker mere overvågning, for det er sådan set det, jeg forholder mig til. Jeg kunne godt tænke mig, at der er overvågning på centrale steder, pladser, højrisikosteder osv. Det synes jeg ville være helt åbenbart.",1.0,True
4,79831,attack,GQV1P2A6,PCIEWQQM,"Det er jo super, at det indgår i regeringens tanker, hvad man lovede vælgerne før valget","desværre jo også med en aktie fra Parti_F. Så vi har valgt at fokusere på de ældre, på handicapområdet, på børneområdet, og det håber jeg i øvrigt Parti_F vil bakke op om.",0.1739130434782608,False
5,79831,attack,GQV1P2A6,XA2J3CRV,"Det er jo super, at det indgår i regeringens tanker, hvad man lovede vælgerne før valget",desværre jo også med en aktie fra Parti_F.,0.0833333333333333,False
6,79831,attack,PCIEWQQM,XA2J3CRV,"desværre jo også med en aktie fra Parti_F. Så vi har valgt at fokusere på de ældre, på handicapområdet, på børneområdet, og det håber jeg i øvrigt Parti_F vil bakke op om.",desværre jo også med en aktie fra Parti_F.,0.4210526315789473,True
7,79831,evasion,GQV1P2A6,PCIEWQQM,"og jeg vil i øvrigt i folkeoplysningens navn sige, at det faktisk går ret godt med tallene på udlændingeområdet, både når det handler om asyl, og når det handler om familiesammenføring","Det sidder vi nu og kigger på i regeringen hvordan vi gør bedst. Jeg mener stadig væk, det er en ualmindelig god idé, og jeg vil i øvrigt i folkeoplysningens navn sige, at det faktisk går ret godt med tallene på udlændingeområdet, både når det handler om asyl, og når det handler om familiesammenføring. Så den tidligere regerings politik, som vi støttede op om, og den nuværende regerings politik, som den daværende regering bakker op om sammen med Parti_F, virker. Men idéen om et loft er stadig væk god, og det indgår i regeringens arbejde.",0.5054945054945055,True
8,79831,evasion,GQV1P2A6,PCIEWQQM,"og jeg vil i øvrigt i folkeoplysningens navn sige, at det faktisk går ret godt med tallene på udlændingeområdet, både når det handler om asyl, og når det handler om familiesammenføring","Vores klare vurdering har været den, at når skiftende regeringer nu endelig er lykkedes med faktisk at få styr på udlændingeområdet, så var den her regerings vigtigste opgave i første kommuneaftale at begynde også at få styr på velfærden, som jo er et område, der ikke har fået den opmærksomhed, velfærden skulle, under den tidligere regering",0.2,False
9,79831,evasion,GQV1P2A6,PCIEWQQM,"og jeg vil i øvrigt i folkeoplysningens navn sige, at det faktisk går ret godt med tallene på udlændingeområdet, både når det handler om asyl, og når det handler om familiesammenføring","Det skal jo så ikke betyde, at vi ikke også har et fokus på, hvor mange der kommer hertil. Det går ret godt på udlændingeområdet, men et loft er stadig væk en del af regeringens arbejde.",0.2105263157894736,False
10,79831,evasion,GQV1P2A6,XA2J3CRV,"og jeg vil i øvrigt i folkeoplysningens navn sige, at det faktisk går ret godt med tallene på udlændingeområdet, både når det handler om asyl, og når det handler om familiesammenføring","Det sidder vi nu og kigger på i regeringen hvordan vi gør bedst. Jeg mener stadig væk, det er en ualmindelig god idé, og jeg vil i øvrigt i folkeoplysningens navn sige, at det faktisk går ret godt med tallene på udlændingeområdet, både når det handler om asyl, og når det handler om familiesammenføring",0.7272727272727273,True
